"S1688-70262016000200016-ury","El futuro en los tiempos que corren…: Consideraciones sobre la problemática ambiental en la era hipermoderna","Marqués, Joaquín","Psicología, Conocimiento y Sociedad; 6(2); 299-320","Psicología, Conocimiento y Sociedad","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262016000200016&lang=pt" 
"S1688-70262016000200018-ury","Reseña de: Han, Byung-Chul (2014) La agonía del Eros. Barcelona: Herder","Traversa, Laura Díaz, La Paz Barbarich, Celia","Psicología, Conocimiento y Sociedad; 6(2); 343-349","Psicología, Conocimiento y Sociedad","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262016000200018&lang=pt" 
"S1688-70262016000200015-ury","Lenguaje y performatividad","Rozas, Sergio","Psicología, Conocimiento y Sociedad; 6(2); 280-298","Psicología, Conocimiento y Sociedad","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262016000200015&lang=pt" 
"S1688-70262016000200001-ury","De incertidumbres, ciberespacios, tiempos disincrónicos y fragmentaciones sociales: hacia la búsqueda de sentido en la hipermodernidad","Araújo, Ana María","Psicología, Conocimiento y Sociedad; 6(2); 1-6","Psicología, Conocimiento y Sociedad","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262016000200001&lang=pt" 
"S1688-70262016000200011-ury","Tiempos acelerados y espacios nómades de la hipermodernidad.: Reflexiones abiertas","Araújo, Ana María, Cardozo, Analaura","Psicología, Conocimiento y Sociedad; 6(2); 209-222","Psicología, Conocimiento y Sociedad","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-70262016000200011&lang=pt" 
"S1726-569X2016000200021-chl","Conscientious objection in spanish podiatrists students: a questionnaire survey","López López, Daniel, de la Campa Portela, Rosa Mary, Losa Iglesias, Marta Elena, Ramos Galván, José, Munuera Martínez, Pedro Vicente, García Sánchez, Matilde, Becerro de Bengoa Vallejo, Ricardo","Acta bioethica; 22(2); 341-345","Acta bioethica","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2016000200021&lang=pt" 
"S1726-569X2016000200003-chl","Las interrupciones del embarazo en la práctica obstétrica: recurso terapéutico vs aborto provocado","Besio Rollero, Mauricio","Acta bioethica; 22(2); 169-178","Acta bioethica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2016000200003&lang=pt" 
"S1726-569X2016000200022-chl","Reconstrucción del ethos de la ingeniería civil industrial en Chile: un acercamiento preliminar","Pasmanik Volochinsky, Diana, Rodríguez Araneda, María José, Reyes Espejo, María Isabel, Tarride Fernández, Mario","Acta bioethica; 22(2); 347-356","Acta bioethica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2016000200022&lang=pt" 
"S1726-569X2016000200006-chl","Estatuto ontológico del embrión humano como persona: Una perspectiva desde la investigación biológica en América Latina","Olivo Yépez, Álvaro, Linares Márquez, Pascual, Suárez Guerrero, Ana Isabel, Aguirre Guzmán, Ana María","Acta bioethica; 22(2); 195-202","Acta bioethica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2016000200006&lang=pt" 
"S1726-569X2016000200017-chl","Estudio exploratorio-descriptivo sobre las consideraciones bioéticas presentes en la intervención a personas con discapacidad psiquiátrica en los Hospitales de Día de la Región del Maule","Pérez Ayala, Manuel","Acta bioethica; 22(2); 303-314","Acta bioethica","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S1726-569X2016000200017&lang=pt" 
