"S0011-52581996000300005-scl","Teses Equivocadas sobre a Ordem Mundial Pós-Guerra Fria","Lima, Maria Regina Soares de","Dados; 39(3); -","Dados","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52581996000300005&lang=pt" 
"S0104-79301996000200006-scl","PURIFICATION AND PROPERTIES OF A CARDIOACTIVE TOXIN, CARDIOLEPUTIN, FROM STONEFISH, Synanceja verrucosa","ABE, T., SUMATORA, M., HASHIMOTO, Y., YOSHIHARA, J., SHIMAMURA, Y., FUKAMI, J.","Journal of Venomous Animals and Toxins; 2(2); 135-149","Journal of Venomous Animals and Toxins","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-79301996000200006&lang=pt" 
"S0104-79301996000200003-scl","EVOLUTION OF SCORPIONISM BY Tityus bahiensis (PERTY) AND Tityus serrulatus LUTZ AND MELLO AND GEOGRAPHICAL DISTRIBUTION OF THE TWO SPECIES IN THE STATE OF SÃO PAULO - BRAZIL","EICKSTEDT, V. R. D. von, RIBEIRO, L. A., CANDIDO, D. M., ALBUQUERQUE, M. J., JORGE, M. T.","Journal of Venomous Animals and Toxins; 2(2); 92-105","Journal of Venomous Animals and Toxins","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-79301996000200003&lang=pt" 
"S0104-79301996000200005-scl","THE EVOLUTION OF SCORPIONISM IN BRAZIL IN RECENT YEARS","LOURENÇO, W. R., CLOUDSLEY-THOMPSON, J. L., CUELLAR, O., EICKSTEDT, V. R. D. VON, BARRAVIERA, B., KNOX, M. B.","Journal of Venomous Animals and Toxins; 2(2); 121-134","Journal of Venomous Animals and Toxins","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-79301996000200005&lang=pt" 
"S0104-79301996000200007-scl","HIGH-PERFORMANCE GEL FILTRATION PATTERNS OF VENOMS  FROM THREE SPECIES OF WASPS OF THE GENUS Polybia  (HYMENOPTERA, VESPIDAE)","PALMA, M. S., MANZOLI-PALMA, M. F., GOBBI, N.","Journal of Venomous Animals and Toxins; 2(2); 150-155","Journal of Venomous Animals and Toxins","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-79301996000200007&lang=pt" 
"S0104-79301996000200009-scl","CHARACTERIZATION OF THE BIOLOGICAL ACTIVITIES OF THE Crotalus durissus ruruima YELLOW AND WHITE VENOMS COMPARED WITH Crotalus durissus terrificus VENOM:NEUTRALIZING EFFECT OF THE ANTIVENOMS AGAINST Crotalus durissus terrificus VENOM","Santos, M. C. dos","Journal of Venomous Animals and Toxins; 2(2); 163-163","Journal of Venomous Animals and Toxins","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-79301996000200009&lang=pt" 
"S0104-79301996000200015-scl","BIOCHEMICAL AND IMMUNOLOGICAL CHARACTERIZATION OF THE MAIN PRODUCTS OF CROTOXIN IRRADIATION","Nascimento, N.","Journal of Venomous Animals and Toxins; 2(2); 169-169","Journal of Venomous Animals and Toxins","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-79301996000200015&lang=pt" 
"S0104-79301996000200010-scl","FUNCTION AND MORPHOLOGICAL STUDY OF ACUTE TUBULAR NECROSIS EXPERIMENTALLY INDUCED IN WISTAR RATS BY AFRICANIZED BEE VENOM","Reis, M. A.","Journal of Venomous Animals and Toxins; 2(2); 164-164","Journal of Venomous Animals and Toxins","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-79301996000200010&lang=pt" 
"S0104-79301996000200011-scl","BIOCHEMICAL AND IMMUNOLOGICAL ALTERATIONS OF 60 &lt;img SRC=&quot;http:/img/fbpe/jvat/v2n2/image2235.gif&quot;&gt;Co IRRADIATED Bothrops jararacussu VENOM","Spencer, P. J.","Journal of Venomous Animals and Toxins; 2(2); 165-165","Journal of Venomous Animals and Toxins","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-79301996000200011&lang=pt" 
"S0104-79301996000200017-scl","","","Journal of Venomous Animals and Toxins; 2(2); 171-171","Journal of Venomous Animals and Toxins","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-79301996000200017&lang=pt" 
"S0104-79301996000200016-scl","","","Journal of Venomous Animals and Toxins; 2(2); 170-170","Journal of Venomous Animals and Toxins","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-79301996000200016&lang=pt" 
