"S0210-56912011000200014-esp","Fallo enmascarado de captura ventricular en paciente portador de marcapasos bicameral","Canabal-Berlanga, A., Sánchez-Rodríguez, P., Raigal-Caño, A.","Medicina Intensiva; 35(2); 135-136","Medicina Intensiva","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912011000200014&lang=pt" 
"S0004-05922011000100020-esp","Reproductive performance and EGG quality traits of crossbreeding between two strains of snails","Okon, B., Ibom, L.A., Odido, E.E.","Archivos de Zootecnia; 60(229); 153-156","Archivos de Zootecnia","Inglês","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922011000100020&lang=pt" 
"S0210-56912011000200012-esp","Hipoglucemia oculta en paciente con insuficiencia renal crónica en programa de diálisis peritoneal","Lange, S. de, Fernández Cabrera, J., Gomar Vidal, S.","Medicina Intensiva; 35(2); 133-134","Medicina Intensiva","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912011000200012&lang=pt" 
"S1139-76322011000100010-esp","Casos clínicos en Cardiología (n.º 7): niña de 11 años con soplo cardiaco y alteraciones en el electrocardiograma","Pérez-Lescure Picarzo, F.J., Crespo Marcos, D.","Pediatría Atención Primaria; 13(49); 99-106","Pediatría Atención Primaria","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322011000100010&lang=pt" 
"S0210-56912011000200013-esp","Ultrasonotrombólisis: un tratamiento eficaz e infrautilizado en el ictus isquémico","Álvarez-Fernández, J.A.","Medicina Intensiva; 35(2); 134-135","Medicina Intensiva","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912011000200013&lang=pt" 
"S1139-13752011000100009-esp","Discapacidad intelectual y toma de decisiones en hemodiálisis: ¿exclusión u oportunidad?","García Llana, Helena, Barbero Gutiérrez, Javier, Celadilla Diez, Olga, Trocoli González, Filo, Selgas Gutiérrez, Rafael","Revista de la Sociedad Española de Enfermería Nefrológica; 14(1); 53-55","Revista de la Sociedad Española de Enfermería Nefrológica","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-13752011000100009&lang=pt" 
"S0004-27302011000200001-scl","Recomendações do Departamento de Neuroendocrinologia da Sociedade Brasileira de Endocrinologia e Metabologia para o diagnóstico e tratamento da acromegalia no Brasil","Vieira Neto, Leonardo, Abucham, Julio, Araujo, Luiz Antônio de, Boguszewski, Cesar L., Bronstein, Marcello D., Czepielewski, Mauro, Jallad, Raquel S., Musolino, Nina R. de C., Naves, Luciana A., Ribeiro-Oliveira Júnior, Antônio, Vilar, Lucio, Faria, Manuel dos S., Gadelha, Mônica R.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 55(2); 91-105","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302011000200001&lang=pt" 
"S0004-27302011000200002-scl","Papel do fator de crescimento vascular endotelial na angiogênese e na retinopatia diabética","Valiatti, Fabiana Borba, Crispim, Daisy, Benfica, Camila, Valiatti, Bruna Borba, Kramer, Caroline K., Canani, Luís Henrique","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 55(2); 106-113","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302011000200002&lang=pt" 
"S0004-27302011000200006-scl","Impacto de um programa de intervenção sobre o estilo de vida nos perfis metabólico, antropométrico e dietético em nipo-brasileiros com e sem síndrome metabólica","Damião, Renata, Sartorelli, Daniela Saes, Hirai, Amélia, Bevilacqua, Marselle Rodrigues, Salvo, Vera Lúcia Morais Antonio de, Ferreira, Sandra Roberta Gouvea, Gimeno, Suely Godoy Agostinho","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 55(2); 134-145","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302011000200006&lang=pt" 
"S0004-27302011000200009-scl","Prevalence of metabolic syndrome and of its specific components among adolescents from Niterói City, Rio de Janeiro State, Brazil","Alvarez, Marlene M., Vieira, Ana Carolina R. e, Sichieri, Rosely, Veiga, Gloria V. da","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 55(2); 164-170","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302011000200009&lang=pt" 
"S1679-87592011000100002-scl","A descriptive analysis of the seasonal variation of physical oceanographic characteristics in the northern region of the Todos os Santos Bay (Bahia, Brazil)","Miranda, Luiz Bruner de, Silveira, Ilson Carlos Almeida da, Fernandes, Felipe Pires Alvarenga, Ponsoni, Leandro, Costa, Thiago Podadera","Brazilian Journal of Oceanography; 59(1); 9-26","Brazilian Journal of Oceanography","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592011000100002&lang=pt" 
