"S0104-66322001000100011-scl","Single - and multi-component liquid phase adsorption measurements by headspace chromatography","Torres, A.E.B., Neves, S.B., Abreu, J.C.N., Cavalcante Jr., C.L., Ruthven, D.M.","Brazilian Journal of Chemical Engineering; 18(1); 121-125","Brazilian Journal of Chemical Engineering","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322001000100011&lang=pt" 
"S0104-66322001000100003-scl","The effects of aging temperature and aging time on the oxygen storage capacity of Pt-Rh/CeZrO2 catalysts","Hori, C.E., Ng, K.Y. Simon, Brenner, A., Rahmoeller, K.M., Belton, D.","Brazilian Journal of Chemical Engineering; 18(1); 23-33","Brazilian Journal of Chemical Engineering","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322001000100003&lang=pt" 
"S0104-66322001000100006-scl","Non-newtonian carriers in a batch electrophoretic cell with joule heating: hydrodynamic considerations and mathematical aspects","Bosse, M.A., Arce, P., Vasquez, A.","Brazilian Journal of Chemical Engineering; 18(1); 61-70","Brazilian Journal of Chemical Engineering","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322001000100006&lang=pt" 
"S0104-66322001000100007-scl","The role of the rheological properties of non-newtonian fluids in controlling dispersive mixing in a batch electrophoretic cell with Joule heating","Bosse, M.A., Arce, P., Troncoso, S.A., Vasquez, A.","Brazilian Journal of Chemical Engineering; 18(1); 71-80","Brazilian Journal of Chemical Engineering","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322001000100007&lang=pt" 
"S0104-66322001000100008-scl","A simulation benchmark to evaluate the performance of advanced control techniques in biological wastewater treatment plants","Sotomayor, O.A.Z., Park, S.W., Garcia, C.","Brazilian Journal of Chemical Engineering; 18(1); 81-101","Brazilian Journal of Chemical Engineering","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322001000100008&lang=pt" 
"S0100-736X2001000100003-scl","Histological changes caused by experimental Riedeliella graciliflora (Leg. Papilionoideae) poisoning in cattle and laboratory animals","Riet-Correa, Franklin, Górniak, Silvana L., Haraguchi, Mitsue, Dagli, Maria Lúcia Z.","Pesquisa Veterinária Brasileira; 21(1); 5-7","Pesquisa Veterinária Brasileira","Inglês","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2001000100003&lang=pt" 
"S0100-736X2001000100002-scl","Intoxicação experimental por Asclepias curassavica (Asclepiadaceae) em bovinos. Dados complementares","Tokarnia, Carlos Hubinger, Brito, Marilene F., Cunha, Bernardo R.M.","Pesquisa Veterinária Brasileira; 21(1); 1-4","Pesquisa Veterinária Brasileira","Português","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2001000100002&lang=pt" 
"S0100-736X2001000100001-scl","Editorial","","Pesquisa Veterinária Brasileira; 21(1); -","Pesquisa Veterinária Brasileira","Português","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2001000100001&lang=pt" 
"S0100-736X2001000100005-scl","Anemia hemolítica causada por Indigofera suffruticosa (Leg. Papilionoideae) em bovinos","Barbosa Neto, José Diomedes, Oliveira, Carlos Magno Chaves, Peixoto, Paulo Vargas, Barbosa, Imke Barbara Pfeifer, Ávila, Sandra Cristina, Tokarnia, Carlos Hubinger","Pesquisa Veterinária Brasileira; 21(1); 18-22","Pesquisa Veterinária Brasileira","Português","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2001000100005&lang=pt" 
"S0100-736X2001000100007-scl","ELISA de bloqueio monoclonal para o diagnóstico sorológico de infecções pelo herpesvírus bovino tipo 1 (BHV-1)","Teixeira, Marjorie F.B., Esteves, Paulo A., Schmidt, Cyntia S., Spilki, Fernando R., Silva, Tamir C., Dotta, Maria A., Roehe, Paulo M.","Pesquisa Veterinária Brasileira; 21(1); 33-37","Pesquisa Veterinária Brasileira","Português","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2001000100007&lang=pt" 
"S0100-736X2001000100004-scl","Intoxicação experimental pelas favas de Stryphnodendron obovatum (Leg. Mimosoideae) em bovinos. 1. Caracterização do quadro clínico","Brito, Marilene F., Tokarnia, Carlos H., Peixoto, Paulo V., Nogueira, Miriam","Pesquisa Veterinária Brasileira; 21(1); 9-17","Pesquisa Veterinária Brasileira","Português","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2001000100004&lang=pt" 
