"S0256-95742009000500008-sza","No pay, no cure: can our hospitals be salvaged?","Bateman, Chris","SAMJ: South African Medical Journal; 99(5); 288-292","SAMJ: South African Medical Journal","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742009000500008&lang=pt" 
"S0256-95742009000500009-sza","Qualified ethics nod to doctors downing tools","Bateman, Chris","SAMJ: South African Medical Journal; 99(5); 294-297","SAMJ: South African Medical Journal","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742009000500009&lang=pt" 
"S0256-95742009000500010-sza","Bio-ethics vigilance vital: medical and legal doyens","Bateman, Chris","SAMJ: South African Medical Journal; 99(5); 298-299","SAMJ: South African Medical Journal","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742009000500010&lang=pt" 
"S0256-95742009000500011-sza","Hydatid disease masquerading as an incisional hernia","Maharaj, A, Allopi, L, Singh, B","SAMJ: South African Medical Journal; 99(5); 300-301","SAMJ: South African Medical Journal","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742009000500011&lang=pt" 
"S0256-95742009000500012-sza","Mao Tse-tung (1893 - 1976): his habits and his health","Retief, Francois, Wessels, André","SAMJ: South African Medical Journal; 99(5); 302-305","SAMJ: South African Medical Journal","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742009000500012&lang=pt" 
"S0256-95742009000500013-sza","David Bourne","Sayed, Rauf, Hoffman, Margaret, London, Leslie, Dorrington, Rob, Bradshaw, Debbie","SAMJ: South African Medical Journal; 99(5); 306-306","SAMJ: South African Medical Journal","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742009000500013&lang=pt" 
"S0256-95742009000500014-sza","Paediatric liver transplantation in South Africa in 2009","Millar, Alastair J W, Spearman, Wendy, Kahn, Delawir","SAMJ: South African Medical Journal; 99(5); 308-309","SAMJ: South African Medical Journal","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742009000500014&lang=pt" 
"S0256-95742009000500015-sza","Management of cryptoccocal meningitis in resource-limited settings: a systematic review","Sloan, Derek, Dlamini, Sipho, Dedicoat, Martin","SAMJ: South African Medical Journal; 99(5); 310-312","SAMJ: South African Medical Journal","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742009000500015&lang=pt" 
"S0256-95742009000500016-sza","Chronic bilateral anterior shoulder dislocation","Abdulkadir, A Y, Adesiyun, O A M, Jimoh, O R, Amole, A O D","SAMJ: South African Medical Journal; 99(5); 313-313","SAMJ: South African Medical Journal","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742009000500016&lang=pt" 
"S0256-95742009000500017-sza","Measles outbreak in South Africa, 2003 - 2005","McMorrow, Meredith L, Gebremedhin, Goitom, van den Heever, Johann, Kezaala, Robert, Harris, Bernice N, Nandy, Robin, Strebel, Peter, Jack, Abdoulie, Cairns, K Lisa","SAMJ: South African Medical Journal; 99(5); 314-319","SAMJ: South African Medical Journal","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742009000500017&lang=pt" 
"S0256-95742009000500018-sza","Clinical and financial burdens of secondary level care in a public sector antiretroviral roll-out setting (G F Jooste Hospital)","Kevany, Sebastian, Meintjes, Graeme, Rebe, Kevin, Maartens, Gary, Cleary, Susan","SAMJ: South African Medical Journal; 99(5); 320-325","SAMJ: South African Medical Journal","Inglês","2009","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742009000500018&lang=pt" 
