"S1515-59942014000100008-arg","El grado de ruralidad del empleo agrario pampeano a comienzos del siglo XXI: Un análisis espacial","Pellegrini, José Luis","Mundo agrario; 15(28); -","Mundo agrario","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1515-59942014000100008&lang=pt" 
"S1515-59942014000100001-arg","Experimentación científica, genética aviar y dictadura militar en el Instituto Nacional de Tecnología Agropecuaria: (1956-1976)","Gárgano, Cecilia","Mundo agrario; 15(28); -","Mundo agrario","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1515-59942014000100001&lang=pt" 
"S1515-59942014000100012-arg","","Schmidt, Mariana Andrea","Mundo agrario; 15(28); -","Mundo agrario","Português","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1515-59942014000100012&lang=pt" 
"S1515-59942014000100005-arg","Sobre la homogeneización de la presión fiscal en la agricultura pampeana tras la devaluación","Fernández, Diego Ariel","Mundo agrario; 15(28); -","Mundo agrario","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1515-59942014000100005&lang=pt" 
"S1515-59942014000100006-arg","Asociaciones empresarias del agro y crisis de acumulación, 1998-1999: Un antecedente de la &quot;Mesa de Enlace&quot;","Salvia, Sebastián P.","Mundo agrario; 15(28); -","Mundo agrario","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1515-59942014000100006&lang=pt" 
"S1515-59942014000100009-arg","Instituciones y recursos hídricos: aportes conceptuales para una práctica política congruente con las necesidades locales","Mussetta, Paula","Mundo agrario; 15(28); -","Mundo agrario","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1515-59942014000100009&lang=pt" 
"S1515-59942014000100004-arg","Tradición movimentista: Una categoría para pensar las relaciones de continuidad y ruptura entre organizaciones agrarias históricas y contemporáneas de Misiones","Ramírez, Delia Concepción","Mundo agrario; 15(28); -","Mundo agrario","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1515-59942014000100004&lang=pt" 
"S1515-59942014000100002-arg","Desarrollo y límites de la producción argentina de tractores (1955-1978): Su situación en el marco de la competencia internacional","Bil, Damián Andrés","Mundo agrario; 15(28); -","Mundo agrario","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1515-59942014000100002&lang=pt" 
"S1678-91992014000200503-scl","A case of stings in humans caused by Sclerodermus  sp. in Italy","Papini, Roberto Amerigo","Journal of Venomous Animals and Toxins including Tropical Diseases; 20(); 1-5","Journal of Venomous Animals and Toxins including Tropical Diseases","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992014000200503&lang=pt" 
"S0120-99572014000100008-col","Actualización sobre Enfermedad por Reflujo Gastroesofágico en niños","Velasco Benítez, Carlos Alberto","Revista Colombiana de Gastroenterologia; 29(1); 55-62","Revista Colombiana de Gastroenterologia","Inglês, Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572014000100008&lang=pt" 
"S0120-99572014000100012-col","Enfermedad hepática grasa: Aspectos patológicos","López Panqueva, Rocío del Pilar","Revista Colombiana de Gastroenterologia; 29(1); 82-88","Revista Colombiana de Gastroenterologia","Inglês, Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572014000100012&lang=pt" 
"S0120-99572014000100010-col","Pancreatitis por citomegalovirus en inmunocomprometidos: Reporte de casos","Salazar-Huayna, Lourdes, Vélez-Segovia, Eduardo, Ruelas-Figueroa, José, Mendo-Urbina, Fernando, Montiel-Gonzales, Marco","Revista Colombiana de Gastroenterologia; 29(1); 69-73","Revista Colombiana de Gastroenterologia","Inglês, Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572014000100010&lang=pt" 
"S0120-99572014000100011-col","Enteroscopia total de doble balón intraoperatoria asistida por laparoscopia en el tratamiento de Síndrome de Peutz-Jeghers: reporte de un caso","Vargas R, Rómulo Darío, Costa B, Valeria Atenea, Moros, Gonzalo, Alvarado Bestene, Jaime","Revista Colombiana de Gastroenterologia; 29(1); 74-80","Revista Colombiana de Gastroenterologia","Inglês, Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572014000100011&lang=pt" 
