"S0034-75902004000500008-scl","Os bens de informação e o problema da primeira cópia","Carvalho, Selma","Revista de Administração de Empresas; 44(spe); 97-107","Revista de Administração de Empresas","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902004000500008&lang=pt" 
"S1870-54722004000200004-mex","Políticas de población y nutrición de las mujeres: un estudio en seis comunidades rurales de Chiapas, México","Nazar-Beutelspacher, Austreberta, Zapata-Martelo, Emma, Vázquez-García, Verónica","Agricultura, sociedad y desarrollo; 1(2); 147-162","Agricultura, sociedad y desarrollo","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-54722004000200004&lang=pt" 
"S1870-54722004000200001-mex","Feminist theorizing in time and space: a study from Mesoamerica","Mercado, Marta","Agricultura, sociedad y desarrollo; 1(2); 111-131","Agricultura, sociedad y desarrollo","Inglês","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-54722004000200001&lang=pt" 
"S1870-54722004000200005-mex","An option value analysis of the monarch butterfly forests","Kido, Antonio","Agricultura, sociedad y desarrollo; 1(2); 163-169","Agricultura, sociedad y desarrollo","Inglês","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-54722004000200005&lang=pt" 
"S1870-54722004000200002-mex","Comparación de indicadores de desempeño de la producción agropecuaria: países de América Latina y de la Unión Europea","Cardoso, João Luiz, Archanjo-Sampaio, María de Fátima, Teruel-Menderos, Bárbara, Stella-Zibordi, Mariana","Agricultura, sociedad y desarrollo; 1(2); 171-181","Agricultura, sociedad y desarrollo","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-54722004000200002&lang=pt" 
"S1870-54722004000200006-mex","Variedades transgénicas y el maíz nativo en México","Kato-Yamakake, Takeo Angel","Agricultura, sociedad y desarrollo; 1(2); 101-109","Agricultura, sociedad y desarrollo","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-54722004000200006&lang=pt" 
"S1870-54722004000200003-mex","Las galerías filtrantes o Qanats en México: introducción y tipología de técnicas","Palerm-Viqueira, Jacinta","Agricultura, sociedad y desarrollo; 1(2); 133-145","Agricultura, sociedad y desarrollo","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-54722004000200003&lang=pt" 
"S1415-47142004000400088-scl","Violence et dire, pour une rhétorique du soin","Quaderi, André","Revista Latinoamericana de Psicopatologia Fundamental; 7(4); 88-99","Revista Latinoamericana de Psicopatologia Fundamental","Francês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142004000400088&lang=pt" 
"S1415-47142004000400059-scl","Abrigo primordial e envoltura psíquica:duplicidade do setting em psicopatologia fundamental","Cervini, Esther Aparecida","Revista Latinoamericana de Psicopatologia Fundamental; 7(4); 59-76","Revista Latinoamericana de Psicopatologia Fundamental","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142004000400059&lang=pt" 
"S1415-47142004000400135-scl","Os tempos da prematuridade","Zornig, Silvia Abu-Jamra, Morsch, Denise Streit, Braga, Nina Almeida","Revista Latinoamericana de Psicopatologia Fundamental; 7(4); 135-143","Revista Latinoamericana de Psicopatologia Fundamental","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142004000400135&lang=pt" 
"S1405-74252004000400010-mex","Esperanza de vida al nacimiento y mortalidad infantil en Chiapas: Experiencia metodológica de construcción de indicadores regionales","Sánchez Ramírez, Georgina, Tuñón Pablos, Esperanza","Papeles de población; 10(42); 265-284","Papeles de población","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-74252004000400010&lang=pt" 
