"S0104-66322013000300016-scl","Preparation, characterization and gas permeation study of PSf/MgO nanocomposite membrane","Momeni, S. M., Pakizeh, M.","Brazilian Journal of Chemical Engineering; 30(3); 589-597","Brazilian Journal of Chemical Engineering","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322013000300016&lang=pt" 
"S0104-66322013000300017-scl","Magnetohydrodynamic axisymmetric flow of a third-grade fluid between two porous disks","Shafiq, A., Nawaz, M., Hayat, T., Alsaedi, A.","Brazilian Journal of Chemical Engineering; 30(3); 599-609","Brazilian Journal of Chemical Engineering","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322013000300017&lang=pt" 
"S0104-66322013000300019-scl","Flow of a Williamson fluid over a stretching sheet","Nadeem, S., Hussain, S. T., Lee, Changhoon","Brazilian Journal of Chemical Engineering; 30(3); 619-625","Brazilian Journal of Chemical Engineering","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322013000300019&lang=pt" 
"S0104-66322013000300020-scl","The effect of the introduction of an exit tube on the separation efficiency in a cyclone","Cernecky, J., Plandorova, K.","Brazilian Journal of Chemical Engineering; 30(3); 627-641","Brazilian Journal of Chemical Engineering","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322013000300020&lang=pt" 
"S0104-66322013000300021-scl","Numerical aspects of direct quadrature-based moment methods for solving the population balance equation","Santos, F. P., Lage, P. L. C., Fontes, C. E.","Brazilian Journal of Chemical Engineering; 30(3); 643-656","Brazilian Journal of Chemical Engineering","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322013000300021&lang=pt" 
"S0104-66322013000300022-scl","Adsorption of remazol brilliant blue on an orange peel adsorbent","Mafra, M. R., Igarashi-Mafra, L., Zuim, D. R., Vasques, É. C., Ferreira, M. A.","Brazilian Journal of Chemical Engineering; 30(3); 657-665","Brazilian Journal of Chemical Engineering","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322013000300022&lang=pt" 
"S0104-66322013000300023-scl","Effect of drying conditions on the physical properties of impregnated orange peel","Manjarres-Pinzon, K., Cortes-Rodriguez, M., Rodríguez-Sandoval, E.","Brazilian Journal of Chemical Engineering; 30(3); 667-676","Brazilian Journal of Chemical Engineering","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-66322013000300023&lang=pt" 
"S0211-57352013000300004-esp","Trastorno por estrés postraumático y cerebro","Seijas Gómez, Raquel","Revista de la Asociación Española de Neuropsiquiatría; 33(119); 511-523","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352013000300004&lang=pt" 
"S0211-57352013000300002-esp","Seguimiento de las recomendaciones sobre psicofarmacología y su repercusión conductual en la discapacidad intelectual","Jiménez Cubero, M., Aguilar Noguera, V., Pol Viedma, V., Mata García, G., Crespo Valera, S., Martínez Granados, F., Carratalá Marco, A., Pérez Martínez, E., Pol Yanguas, Emilio","Revista de la Asociación Española de Neuropsiquiatría; 33(119); 479-495","Revista de la Asociación Española de Neuropsiquiatría","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-57352013000300002&lang=pt" 
"S0864-21412013000300001-cub","El debate científico más allá del intercambio presencial","Hechavarría Toledo, Suiberto","Educación Médica Superior; 27(3); 158-159","Educación Médica Superior","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412013000300001&lang=pt" 
"S0864-21412013000300002-cub","Satisfacción y retención de los contenidos del Curso Agentes Físicos del Diplomado en Rehabilitación","Oliva Martínez, Danis Bárbara","Educación Médica Superior; 27(3); 160-175","Educación Médica Superior","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412013000300002&lang=pt" 
"S0864-21412013000300003-cub","Organización didáctico-metodológica de la conferencia como sistema integrado en la unidad curricular de Morfofisiología Humana I","Escobar Carmona, Edelby, Madiedo Albolatrachs, Mayra, Puga García, Arturo, Fardales Macía, Vicente, Pérez Mateo, Alexis Valentín","Educación Médica Superior; 27(3); 176-188","Educación Médica Superior","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412013000300003&lang=pt" 
"S0864-21412013000300004-cub","Índice de masa corporal, frecuencia y motivos de estudiantes universitarios para realizar actividad física","Mollinedo Montaño, Fabiana Esther, Trejo Ortiz, Perla María, Araujo Espino, Roxana, Lugo Balderas, Lilia Guadalupe","Educación Médica Superior; 27(3); 189-199","Educación Médica Superior","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412013000300004&lang=pt" 
"S0864-21412013000300005-cub","Orientación profesional en la educación posgraduada de enfermería en centros de hospitalización","Durán Arrieta, Guillermina","Educación Médica Superior; 27(3); 200-206","Educación Médica Superior","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412013000300005&lang=pt" 
"S0864-21412013000300007-cub","Niveles de orientación empática en los estudiantes de Odontología","Sánchez Jiménez, Laura, Padilla Guevara, Mariela, Rivera Ugalde, Ignacio, Zamorano Arancibia, Alejandro, Díaz Narváez, Víctor Patricio","Educación Médica Superior; 27(3); 216-225","Educación Médica Superior","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412013000300007&lang=pt" 
