"S0121-50512012000100001-col","Editorial","Duque Oliva, Edison Jair","Innovar; 22(43); 3-3","Innovar","Inglês, Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512012000100001&lang=pt" 
"S0121-50512012000100002-col","Análisis empírico de la financiación de nuevas empresas en Colombia","Barona-Zuluaga, Bernardo, Rivera-Godoy, Jorge Alberto","Innovar; 22(43); 5-18","Innovar","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512012000100002&lang=pt" 
"S0121-50512012000100003-col","Antecedentes y resultados de emprendimientos dinámicos en Chile: cinco casos de éxito","Cancino, Christian A, Coronado, Freddy, Farias, Antonio","Innovar; 22(43); 19-32","Innovar","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512012000100003&lang=pt" 
"S0121-50512012000100004-col","Desempeño de las empresas propiedad de sus trabajadores: ¿Un modelo de gobierno corporativo laboral?","Fernández-Guadaño, Josefina","Innovar; 22(43); 33-44","Innovar","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512012000100004&lang=pt" 
"S0121-50512012000100006-col","La participación en el mercado laboral de los cuidadores informales de personas mayores en España","Moya-Martínez, Pablo, Escribano-Sotos, Francisco, Pardo-García, Isabel","Innovar; 22(43); 55-66","Innovar","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512012000100006&lang=pt" 
"S0121-50512012000100007-col","Instituciones de educación superior con ánimo de lucro en Colombia","Guzmán, Alexander, Restrepo, José Manuel, Trujillo, María Andrea","Innovar; 22(43); 67-76","Innovar","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512012000100007&lang=pt" 
"S0121-50512012000100008-col","Descentralización educacional en Chile: itinerario sin territorio","Castro-Paredes, Moyra","Innovar; 22(43); 77-92","Innovar","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512012000100008&lang=pt" 
"S0121-50512012000100005-col","Para uma abordagem institucionalista do voluntariado: o caso do voluntário da Cruz Vermelha portuguesa","Fernandes, Armando, Reis Mourão, Paulo","Innovar; 22(43); 45-54","Innovar","Português","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512012000100005&lang=pt" 
"S0121-50512012000100012-col","La cooperación en los procesos de transferencia de conocimiento científico-tecnológico en México: Una evidencia empírica","Feria, Víctor, Hidalgo, Antonio","Innovar; 22(43); 145-164","Innovar","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512012000100012&lang=pt" 
"S0121-50512012000100011-col","Los foros de discusión y sus beneficios en la docencia virtual: recomendaciones para un uso eficiente","Buil, Isabel, Hernández, Blanca, Sesé, F. Javier, Urquizu, Pilar","Innovar; 22(43); 131-144","Innovar","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512012000100011&lang=pt" 
"S0121-50512012000100010-col","Gestión eficiente del tiempo de los universitarios: evidencias para estudiantes de primer curso de la Universidad de Zaragoza","Marcén, Miriam, Martínez-Caraballo, Noemí","Innovar; 22(43); 105-130","Innovar","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512012000100010&lang=pt" 
