"S0034-71081999000300014-scl","Aspectos cinéticos da degradação de laminados de madeiras em ambientes aquático e terrestre","APRILE, F. M., DELITTI, W. B. C., BIANCHINI JR., I.","Revista Brasileira de Biologia; 59(3); 485-492","Revista Brasileira de Biologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71081999000300014&lang=pt" 
"S0034-71081999000300008-scl","Morphometrical aspects of adults of Gratiana spadicea (Klug) Coleoptera, Chrysomelidae) from Southern Uruguay","PONCE DE LEÓN, R., FAILLA, G., MORELLI, E.","Revista Brasileira de Biologia; 59(3); 439-442","Revista Brasileira de Biologia","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71081999000300008&lang=pt" 
"S0034-71081999000300006-scl","The role of gallery forests in the distribution of cerrado mammals","JOHNSON, M. A., SARAIVA, P. M., COELHO, D.","Revista Brasileira de Biologia; 59(3); 421-427","Revista Brasileira de Biologia","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71081999000300006&lang=pt" 
"S0034-71081999000300007-scl","Morphological description of the developmental stages of Parauchenipterus galeatus (Linnaeus, 1766) (Siluriformes, Auchenipteridae) on the floodplain of the upper Paraná River","SANCHES, P. V., NAKATANI, K., BIALETZKI, A.","Revista Brasileira de Biologia; 59(3); 429-438","Revista Brasileira de Biologia","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71081999000300007&lang=pt" 
"S0034-71081999000300010-scl","New records of larval hostplants for ithomiinae butterflies (Nymphalidae)","COSTA, F. A. P. L.","Revista Brasileira de Biologia; 59(3); 455-459","Revista Brasileira de Biologia","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71081999000300010&lang=pt" 
"S0034-71081999000300012-scl","Entropia, informação e estresse hídrico em Eucaliptus camadulensis in vitro","SOUZA, G. M., VILLA NOVA, N. A., GONÇALVES, A. N.","Revista Brasileira de Biologia; 59(3); 471-476","Revista Brasileira de Biologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71081999000300012&lang=pt" 
"S0034-71081999000300013-scl","Actual and potential heterotrophicneutrogen fixation and detrification rates of oryza glumaepatula Steud in an amazonian lake","ENRICH-PRAST, A., ESTEVES, F. A., BIESBOER, D. D.","Revista Brasileira de Biologia; 59(3); 477-484","Revista Brasileira de Biologia","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71081999000300013&lang=pt" 
"S0034-71081999000300003-scl","Algas planctônicas de um lago artificial do Jardim Botânico Chico Mendes, Goiânia, Goiás: florística e algumas considerações ecológicas","NOGUEIRA, I. de S., LEANDRO-RODRIGUES, N. C.","Revista Brasileira de Biologia; 59(3); 377-395","Revista Brasileira de Biologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71081999000300003&lang=pt" 
"S0034-71081999000300005-scl","Estudo comparativo de métodos de amostragem de comunidades de Costão","SABINO, C. M., VILLAÇA, R.","Revista Brasileira de Biologia; 59(3); 407-419","Revista Brasileira de Biologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71081999000300005&lang=pt" 
"S0034-71081999000300009-scl","Variação espacial e temporal de bagres marinhos (Siluriformes, Ariidae) na Baía de Sepetiba, Rio de Janeiro","AZEVEDO, M. C. C., ARAÚJO, F. G., CRUZ-FILHO, A. G., GOMES, I. D., PESSANHA, A. L. M.","Revista Brasileira de Biologia; 59(3); 443-454","Revista Brasileira de Biologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71081999000300009&lang=pt" 
"S0034-71081999000300011-scl","Tamanho corporal em populações naturais de Didelphis (Mammalia: Marsupialia) do Sul do Brasil","CÁCERES, N. C., MONTEIRO-FILHO, E. L. A.","Revista Brasileira de Biologia; 59(3); 461-469","Revista Brasileira de Biologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71081999000300011&lang=pt" 
