"S1870-199X2011000300006-mex","Hiperplasia suprarrenal congénita variedad perdedora de sal: Presentación de un caso clínico","Díaz García, Nitzia Ayared, Ávalos, Verónica, Fragoso Ríos, Rodolfo, Cuairán Ruidíaz, Vicente","Revista odontológica mexicana; 15(3); 169-174","Revista odontológica mexicana","Inglês, Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2011000300006&lang=pt" 
"S1870-199X2011000300004-mex","Uso de nuevas tecnologías en odontología","Fuente Hernández, Javier de la, Álvarez Pérez, Marco Antonio, Sifuentes Valenzuela, María Cristina","Revista odontológica mexicana; 15(3); 157-162","Revista odontológica mexicana","Inglês, Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2011000300004&lang=pt" 
"S1870-199X2011000300008-mex","Accidentes de procedimiento endodóntico: Presentación de un caso","Terrazas Ríos, Tania Abigail, González Pérez, Germán, Liñán Fernández, Maribel, Ortiz Villagómez, Mónica","Revista odontológica mexicana; 15(3); 183-188","Revista odontológica mexicana","Inglês, Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2011000300008&lang=pt" 
"S1870-199X2011000300002-mex","Análisis funcional y estético de labioplastia primaria mediante la técnica de rotación y avance modificada en labio hendido unilateral","Flores Clemente, Israel, Nieto Munguía, Ana María","Revista odontológica mexicana; 15(3); 143-151","Revista odontológica mexicana","Inglês, Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2011000300002&lang=pt" 
"S1870-199X2011000300003-mex","Presencia de actividad enzimática bacteriana en bolsas periodontales en pacientes de la ciudad de Corrientes","Acuña, Miguel, Monzón, Javier, Canga, Ernesto, Diez, Ricardo, Azzi, Elías","Revista odontológica mexicana; 15(3); 152-156","Revista odontológica mexicana","Inglês, Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2011000300003&lang=pt" 
"S1870-199X2011000300005-mex","Tratamiento con artroplastia de anquilosis de la articulación temporomandibular en un paciente con artritis reumatoide: Reporte de un caso","Miranda Hernández, Blanca, Miranda Villasana, José Ernesto","Revista odontológica mexicana; 15(3); 163-168","Revista odontológica mexicana","Inglês, Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2011000300005&lang=pt" 
"S1870-199X2011000300001-mex","Odontología Moderna","González Cardin, Vicente Ernesto","Revista odontológica mexicana; 15(3); 142-142","Revista odontológica mexicana","Inglês, Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2011000300001&lang=pt" 
"S1870-199X2011000300007-mex","Síndrome de Adams-Oliver: Reporte de un caso","Godínez Barragán, Mariana, Parés Vidrio, Gustavo, Hinojosa Aguirre, Alejandro, Yamamoto Nagano, Adolfo","Revista odontológica mexicana; 15(3); 175-182","Revista odontológica mexicana","Inglês, Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-199X2011000300007&lang=pt" 
"S1665-70632011000300003-mex","Nivel de conocimientos de los adolescentes sobre el Virus de Inmunodeficiencia Humana/ Síndrome de Inmunodeficiencia Adquirida","Jiménez Ruíz, Antia, Jiménez García, Fabiola, Tenahua Quitl, Inés, Grajales Alonso, Ignacio","Enfermería universitaria; 8(3); 13-20","Enfermería universitaria","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-70632011000300003&lang=pt" 
"S0101-73302011000300011-scl","Ensino médio: possibilidades de avaliação","Moraes, Carmen Sylvia Vidigal, Alavarse, Ocimar Munhoz","Educação &amp; Sociedade; 32(116); 807-838","Educação &amp; Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302011000300011&lang=pt" 
"S0103-50532011000900020-scl","Study of the BPP7a peptide and its β-cyclodextrin complex: physicochemical characterization and complete sequence specific NMR assignments","Lula, Ivana, Sousa, Frederico B. de, Denadai, Ângelo M. L, Ianzer, Danielle, Camargo, Antônio C. M. de, Santos, Robson A. S, Sinisterra, Rubén D","Journal of the Brazilian Chemical Society; 22(9); 1765-1773","Journal of the Brazilian Chemical Society","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532011000900020&lang=pt" 
"S0101-66282011000300005-scl","Serviço Social e a saúde do trabalhador: uma dispersa demanda","Mendes, Jussara Maria Rosa, Wünsch, Dolores Sanches","Serviço Social &amp; Sociedade; (107); 461-481","Serviço Social &amp; Sociedade","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282011000300005&lang=pt" 
"S1665-70632011000300007-mex","Una propuesta educativa en enfermería transcultural: el caso de la cultura menonita","Islas Salinas, Patricia, Zesati Pereyra, Gina Isabel, Moye Elizalde, Manuel Jesús","Enfermería universitaria; 8(3); 43-49","Enfermería universitaria","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-70632011000300007&lang=pt" 
"S1665-70632011000300006-mex","La enseñanza de enfermería, un análisis desde las teorías de la reproducción","Carmona Mejía, Beatriz, Ponce Gómez, Gandhy","Enfermería universitaria; 8(3); 36-42","Enfermería universitaria","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-70632011000300006&lang=pt" 
"S1665-70632011000300004-mex","Percepción de trato digno de usuarias que acuden al servicio de interrupción legal del embarazo (ILE)","Bernal Becerril, Martha Lilia, Ramírez Alba, Atalia, Ramírez, Gabriela","Enfermería universitaria; 8(3); 21-27","Enfermería universitaria","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-70632011000300004&lang=pt" 
