"S0042-96862006000400023-spa","Composite index of anthropometric failure (CIAF) classification: is it more useful?","Bhattacharyya, Amiya Kumar","Bulletin of the World Health Organization; 84(4); 335-335","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000400023&lang=pt" 
"S0042-96862006000400002-spa","Improving the quality of emergency care for children in developing countries","Maclennan, Carolyn, von Xylander, Severin, Weber, Martin W","Bulletin of the World Health Organization; 84(4); 258-258","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000400002&lang=pt" 
"S0042-96862006000400003-spa","How quality improvement in health care can help to achieve the Millennium Development Goals","Schneider, Anselm","Bulletin of the World Health Organization; 84(4); 259-259","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000400003&lang=pt" 
"S1807-59322006000200016-scl","Meta-analysis of aspirin for the prevention of preeclampsia: do the main randomized controlled trials support an association between low-dose aspirin and a reduced risk of developing preeclampsia?","Pereira, Tiago V., Rudnicki, Martina, Soler, Júlia M. P., Krieger, José E.","Clinics; 61(2); 179-182","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000200016&lang=pt" 
"S1807-59322006000200015-scl","Pancreatic carcinoid: a rare cause of diarrheogenic syndrome","Waisberg, Jaques, Matos, Leandro Luongo de, Santos, Honória Virginea Brom dos, Santos, Angela Batista dos, Reis, Gema Carollo, Capelozzi, Vera Luiza","Clinics; 61(2); 175-178","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000200015&lang=pt" 
"S1807-59322006000200002-scl","Dietary intake of female bariatric patients after anti-obesity gastroplasty","Dias, Maria Carolina G., Ribeiro, Angela G., Scabim, Veruska M, Faintuch, Joel, Zilberstein, Bruno, Gama-Rodrigues, Joaquim José","Clinics; 61(2); 93-98","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000200002&lang=pt" 
"S1807-59322006000200008-scl","Results of meniscectomy for treatment of isolated meniscal injuries: Correlation between results and etiology of injury","Camanho, Gilberto Luis, Hernandez, Arnaldo Jose, Bitar, Alexandre Carneiro, Demange, Marcos K., Camanho, Luis Fellipe","Clinics; 61(2); 133-138","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000200008&lang=pt" 
"S1807-59322006000200013-scl","Importance of angiographic study in preoperative planning of conjoined twins: case report","Carnevale, Francisco Cesar, Borges, Marcus Vinicius, Affonso, Breno Boueri, Pinto, Ricardo Augusto de Paula, Tannuri, Uenis, Maksoud, João Gilberto","Clinics; 61(2); 167-170","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000200013&lang=pt" 
"S1807-59322006000200007-scl","Association between maternal-fetal genetic histocompatibility and maternal undernutrition in mice: influence on intrauterine growth","Rebello, Celso M., Ramos, José Lauro A.","Clinics; 61(2); 127-132","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000200007&lang=pt" 
"S1807-59322006000200018-scl","Technical modification of the Nuss operation for the correction of pectus excavatum","Campos, José Ribas Milanez de, Fonseca, Marcelo Heleno, Werebe, Eduardo de Campos, Velhote, Manuel Carlos Prieto, Jatene, Fábio Biscegli","Clinics; 61(2); 185-186","Clinics","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322006000200018&lang=pt" 
"S0066-782X2006000400003-scl","Aplicações clínicas do peptídeo natriurético do tipo B","Villacorta Júnior, Humberto, Mesquita, Evandro Tinoco","Arquivos Brasileiros de Cardiologia; 86(4); 251-255","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006000400003&lang=pt" 
"S0066-782X2006000400004-scl","Evolução clínica de pacientes com síncope neurocardiogênica (SNC) após suspensão da terapia específica","Bastos, Silvana, Scanavacca, Mauricio, Darrieux, Francisco, Ludovice, Ana Cristina, Sosa, Eduardo, Hachul, Denise Tessariol","Arquivos Brasileiros de Cardiologia; 86(4); 256-260","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006000400004&lang=pt" 
"S0066-782X2006000400005-scl","Aspectos técnicos da cateterização do seio coronariano baseada no componente atrial do eletrograma intracavitário e anatomia radiológica durante o procedimento de implante de marcapasso biventricular","Souza, Fernando Sérgio Oliva de, Mortati, Nicola Luciano, Braile, Domingo Marcolino, Vieira, Reinaldo Wilson, Rojas, Salomon Ordinola, Rabelo, Alessandre Caputo, Souza, Januário Manuel de, Oliveira, Sérgio Almeida de","Arquivos Brasileiros de Cardiologia; 86(4); 261-267","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006000400005&lang=pt" 
"S0066-782X2006000400007-scl","A exposição à fumaça de cigarro intensifica a remodelação ventricular após o infarto agudo do miocárdio","Zornoff, Leonardo A. M., Matsubara, Beatriz B., Matsubara, Luiz S., Minicucci, Marcos F., Azevedo, Paula S., Camapanha, Álvaro O., Paiva, Sergio A. R.","Arquivos Brasileiros de Cardiologia; 86(4); 276-282","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006000400007&lang=pt" 
