"S1130-01082010000800016-esp","On time to veto the use of the word &quot;appendagitis&quot;?","Morera Ocón, F. J.","Revista Española de Enfermedades Digestivas; 102(8); 513-513","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000800016&lang=pt" 
"S0036-36342010000400010-mex","Mortalidad por defectos en el cierre del tubo neural en menores de 5 años de edad en México de 1998 a 2006","Valdés-Hernández, Javier, Canún-Serrano, Sonia, Reyes-Pablo, Aldelmo E, Navarrete-Hernández, Eduardo","Salud Pública de México; 52(4); 341-349","Salud Pública de México","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342010000400010&lang=pt" 
"S1130-01082010000800004-esp","Usefulness of colonoscopy in ischemic colitis","Lozano Maya, M., Ponferrada Díaz, A., González-Asanza, C., Nogales Rincón, O., Senent Sánchez, C., Pérez de Ayala, V., Jiménez Aleixandre, P., Cos Arregui, E., Menchén Fernández-Pacheco, P.","Revista Española de Enfermedades Digestivas; 102(8); 478-483","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000800004&lang=pt" 
"S1405-33222010000200001-mex","Additions to Albian (Cretaceous) Crustacea from Iran","Yazdi, Mehdi, Bahrami, Ali, Vega, Francisco J.","Boletín de la Sociedad Geológica Mexicana; 62(2); 207-211","Boletín de la Sociedad Geológica Mexicana","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222010000200001&lang=pt" 
"S1405-33222010000200002-mex","Ecuación para la Corrección Poynting en Termodinámica de Equilibrio de Fases Gases no Polares-Sistemas Acuosos: Aplicación al Sistema H2S-H2O-NaCl","Martínez Reyes, José, Pérez, Renee J., González Partida, Eduardo, Tinoco Michel, Jorge A.","Boletín de la Sociedad Geológica Mexicana; 62(2); 213-220","Boletín de la Sociedad Geológica Mexicana","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222010000200002&lang=pt" 
"S1405-33222010000200003-mex","Tafofacies e icnofacies de los niveles maastrichtianos-danianos correspondientes a la Formación Yacoraite, Cordillera Oriental de la provincia de Jujuy, Argentina","Cónsole Gonella, Carlos A., Aceñolaza, Florencio G.","Boletín de la Sociedad Geológica Mexicana; 62(2); 221-231","Boletín de la Sociedad Geológica Mexicana","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222010000200003&lang=pt" 
"S1405-33222010000200004-mex","Diseño y aplicación de instrumentación para la caracterización hidrometeorológica e hidrogeológica","Salas-García, Javier, Gárfias, Jaime, Llanos, Hilario, Martel, Richard","Boletín de la Sociedad Geológica Mexicana; 62(2); 233-247","Boletín de la Sociedad Geológica Mexicana","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222010000200004&lang=pt" 
"S1405-33222010000200005-mex","Kinematic source analysis of the 2003 Tecomán, México, earthquake (Mw 7.6) using teleseismic body waves","Gómez-González, Juan Martín, Mendoza, Carlos, Sladen, Anthony, Guzmán-Speziale, Marco","Boletín de la Sociedad Geológica Mexicana; 62(2); 249-262","Boletín de la Sociedad Geológica Mexicana","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222010000200005&lang=pt" 
"S1405-33222010000200006-mex","On some Panamerican Cretaceous crabs (Decapoda: Raninoida)","Vega, Francisco J., Nyborg, Torrey, Kovalchuk, Greg, Etayo, Fernando, Luque, Javier, Rojas-Briceño, Alexis, Patarroyo, Pedro, Porras-Múzquiz, Héctor, Armstrong, Adam, Bermúdez, Hermann, Garibay, Luis","Boletín de la Sociedad Geológica Mexicana; 62(2); 263-279","Boletín de la Sociedad Geológica Mexicana","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222010000200006&lang=pt" 
"S1405-33222010000200007-mex","Sediment transport trends in Bahía Concepción, Baja California Sur, Mexico, based on textural parameters and heavy mineral concentrations","González-Yajimovich, Oscar, Perez-Soto, José Luis, Avila-Serrano, Guillermo E., Meldahl, Keith","Boletín de la Sociedad Geológica Mexicana; 62(2); 281-304","Boletín de la Sociedad Geológica Mexicana","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-33222010000200007&lang=pt" 
"S1870-34532010000200001-mex","Monstera florescanoana (Araceae), a new species from central Veracruz, Mexico","Croat, Thomas B., Krömer, Thorsten, Acebey, Amparo","Revista mexicana de biodiversidad; 81(2); 225-228","Revista mexicana de biodiversidad","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200001&lang=pt" 
"S1870-34532010000200010-mex","El uso de bases de datos curatoriales para reconstruir la historia del conocimiento taxonómico: un ejemplo con papiliónidas y piéridas mexicanas (Insecta: Lepidoptera)","Oñate-Ocaña, Leonor, Llorente-Bousquets, Jorge","Revista mexicana de biodiversidad; 81(2); 343-362","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200010&lang=pt" 
"S1870-34532010000200011-mex","New specimens and records of chondrichthyan fishes (Vertebrata: Chondrichthyes) off the Mexican Pacific coast","Ruiz-Campos, Gorgonio, Castro-Aguirre, José Luis, Balart, Eduardo F., Campos-Dávila, Lucía, Vélez-Marín, Rafael","Revista mexicana de biodiversidad; 81(2); 363-371","Revista mexicana de biodiversidad","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200011&lang=pt" 
"S1870-34532010000200012-mex","Avifauna de la Reserva de la Biosfera Barranca de Metztitlán, Hidalgo, México","Ortiz-Pulido, Raúl, Bravo-Cadena, Jessica, Martínez-García, Vanessa, Reyes, Doroteo, Mendiola-González, Ma. Eugenia, Sánchez, Guillermo, Sánchez, Maximino","Revista mexicana de biodiversidad; 81(2); 373-391","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200012&lang=pt" 
"S1870-34532010000200013-mex","Functional morphology of two Lepismium species (Rhipsalideae, Cactaceae)","Torres-Boeger, María Regina, Soffiatti, Patricia, Gomes-Souto, Marco Antônio, Budchen, Márcia, Bagatini, Katiane Paula, Dal Forno, Manuela","Revista mexicana de biodiversidad; 81(2); 393-400","Revista mexicana de biodiversidad","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200013&lang=pt" 
"S1870-34532010000200014-mex","Clasificación de los pastizales halófilos del noreste de México asociados con perrito de las praderas (Cynomys mexicanus): diversidad y endemismo de especies","Estrada-Castillón, Eduardo, Scott-Morales, Laura, Villarreal-Quintanilla, José A., Jurado-Ybarra, Enrique, Cotera-Correa, Mauricio, Cantú-Ayala, César, García-Pérez, Jaime","Revista mexicana de biodiversidad; 81(2); 401-416","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200014&lang=pt" 
"S1870-34532010000200015-mex","Fauna de arañas del suelo de una comunidad árida-tropical en Baja California Sur, México","Jiménez, María Luisa, Navarrete, José Gabriel","Revista mexicana de biodiversidad; 81(2); 417-426","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200015&lang=pt" 
"S1870-34532010000200016-mex","Variación espacial y temporal de la diversidad de hormigas en el Jardín Botánico del valle de Zapotitlán de las Salinas, Puebla","Guzmán-Mendoza, Rafael, Castaño-Meneses, Gabriela, Herrera-Fuentes, María del Carmen","Revista mexicana de biodiversidad; 81(2); 427-435","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200016&lang=pt" 
"S1870-34532010000200017-mex","Estructura y composición de los ensamblajes estacionales de coleópteros (Insecta: Coleoptera) del bosque mesófilo de montaña en Tlanchinol, Hidalgo, México, recolectados con trampas de intercepción de vuelo","Pedraza, Ma. del Carmen, Márquez, Juan, Gómez-Anaya, José. A.","Revista mexicana de biodiversidad; 81(2); 437-456","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200017&lang=pt" 
"S1870-34532010000200018-mex","Distribución vertical de colémbolos muscícolas en un bosque de Abies religiosa del Estado de México, México","Cutz-Pool, Leopoldo Q., Castaño-Meneses, Gabriela, Palacios-Vargas, José G., Cano-Santana, Zenón","Revista mexicana de biodiversidad; 81(2); 457-463","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200018&lang=pt" 
"S1870-34532010000200019-mex","Comparación temporal de la riqueza y composición de insectos inductores de agallas en el dosel de un bosque tropical","Medianero, Enrique, Paniagua C., Miguel, Castaño-Meneses, Gabriela","Revista mexicana de biodiversidad; 81(2); 465-472","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200019&lang=pt" 
"S1870-34532010000200002-mex","El género Geonoma (Arecaceae: Arecoideae) en México","Quero, Hermilo J., Pérez-Farrera, Miguel Ángel","Revista mexicana de biodiversidad; 81(2); 231-237","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200002&lang=pt" 
"S1870-34532010000200020-mex","Diversidad de anfibios y reptiles de la Reserva de la Biosfera Barranca de Metztitlán, Hidalgo, México","Vite-Silva, Victor D., Ramírez-Bautista, Aurelio, Hernández-Salinas, Uriel","Revista mexicana de biodiversidad; 81(2); 473-485","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200020&lang=pt" 
