"S0103-64402012000300009-scl","Supragingival plaque removal with and without dentifrice: a randomized controlled clinical trial","Zanatta, Fabricio B., Antoniazzi, Raquel P., Pinto, Tatiana M. P., Rösing, Cassiano K.","Brazilian Dental Journal; 23(3); 235-240","Brazilian Dental Journal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402012000300009&lang=pt" 
"S0103-64402012000300011-scl","Behavioral problems and emotional stress in children with bruxism","Ferreira-Bacci, Adriana do Vale, Cardoso, Carmen Lúcia Cardoso, Díaz-Serrano, Kranya Victoria","Brazilian Dental Journal; 23(3); 246-251","Brazilian Dental Journal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402012000300011&lang=pt" 
"S0103-64402012000300013-scl","The challenges of treating a fused tooth","Baratto-Filho, Flares, Leonardi, Denise Piotto, Crozeta, Bruno Monguilhott, Baratto, Samantha Pugsley, Campos, Edson Alves, Tomazinho, Flavia Sens Fagundes, Deliberador, Tatiana Miranda","Brazilian Dental Journal; 23(3); 256-262","Brazilian Dental Journal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402012000300013&lang=pt" 
"S0211-69952012000500019-esp","Progresión de la enfermedad renal crónica: Prevalencia de ansiedad y depresión en la poliquistosis renal autosómica dominante","Pérez-Dominguez, Tais, Rodríguez-Pérez, Armando, García-Bello, Miguel A., Buset-Ríos, Nisa, Rodríguez-Esparragón, Francisco, Parodis-López, Yanet, Rodríguez-Pérez, José C.","Nefrología (Madrid); 32(3); 397-399","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500019&lang=pt" 
"S0211-69952012000500014-esp","Discrepancias entre documentos de consenso, guías, práctica clínica y normativa legal en el tratamiento de los pacientes con diabetes mellitus tipo 2","Pozo-Fernández, Carlos Del, Pardo-Ruiz, Carlos, Sánchez-Botella, Concepción, Blanes-Castañer, Vanesa, López-Menchero, Ramón, Gisbert-Sellés, Cristina, Sánchez-Jodar, Carmen, Álvarez-Avellán, Luis","Nefrología (Madrid); 32(3); 367-373","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500014&lang=pt" 
"S0211-69952012000500004-esp","C4d como herramienta diagnóstica en la nefropatía membranosa","Espinosa-Hernández, Mario, Ortega-Salas, Rosa, López-Andreu, María, Gómez-Carrasco, José M., Pérez-Sáez, M. José, Pérez-Seoane, Carlos, Aljama-García, Pedro","Nefrología (Madrid); 32(3); 295-299","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500004&lang=pt" 
"S0211-69952012000500022-esp","Microalbuminuria, ¿otro uso del paricalcitol?: Nuestra experiencia en enfermedad renal crónica avanzada","Blanco-García, Raquel, Bravo-López, Juan J., Moreiras-Plaza, Mercedes, Nájera-de la Garza, Walfred, Cossio-Annibar, Cynthia, Beato-Coo, Laura, Rodríguez-Goyanes, Gloria","Nefrología (Madrid); 32(3); 401-402","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500022&lang=pt" 
"S0211-69952012000500024-esp","Acidosis metabólica inducida por topiramato: a propósito de un caso","Fernández-de Orueta, Lucía, Esteban-Fernández, Javier, Aichner, Harald F.J., Casillas-Villamor, Ángel, Rodríguez-Álvarez, Sergio","Nefrología (Madrid); 32(3); 403-404","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500024&lang=pt" 
"S0211-69952012000500018-esp","Comment on &quot;Haemodialysis using high cut-off dialysers for treating acute renal failure in multiple myeloma&quot;","Li Cavoli, Gioacchino, Schillaci, Onofrio, Zagarrigo, Carmela, Tralongo, Angelo, Servillo, Francesca, Passanante, Silvia, Rotolo, Ugo","Nefrología (Madrid); 32(3); 396-396","Nefrología (Madrid)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500018&lang=pt" 
"S0211-69952012000500020-esp","Pie diabético e insuficiencia renal: De la teoría a la práctica","Batista-García, Fátima, Hernández, Michele, Suria, Santiago, Esparza, Noemí, Checa, M. Dolores","Nefrología (Madrid); 32(3); 399-399","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500020&lang=pt" 
"S0211-69952012000500001-esp","FGF23 and mineral metabolism, implications in CKD-MBD","Rodríguez, Mariano, López, Ignacio, Muñoz, Juan, Aguilera-Tejero, Escolástico, Almaden, Yolanda","Nefrología (Madrid); 32(3); 275-278","Nefrología (Madrid)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500001&lang=pt" 
"S0211-69952012000500033-esp","Hipertrigliceridemia severa: Tratamiento con plasmaféresis","Izquierdo-Ortiz, M.J., Abaigar-Luquin, P.","Nefrología (Madrid); 32(3); 417-418","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500033&lang=pt" 
"S0211-69952012000500032-esp","Infartos renales bilaterales","Cuberes-Izquierdo, Marta, Yanguas-Barea, Nerea, Martorell-Almau, Olga, Gamen-Pardo, Ángel, Parra-Moncasi, Eduardo, Artal-Sánchez, Raquel, Cozcolluela-Cabrejas, Rosa","Nefrología (Madrid); 32(3); 416-417","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500032&lang=pt" 
"S0211-69952012000500027-esp","Postpartum hemolytic uremic syndrome with multiple organ involvement in a severe case","Zhou, Guang-Yu","Nefrología (Madrid); 32(3); 408-410","Nefrología (Madrid)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500027&lang=pt" 
"S0211-69952012000500031-esp","Carbonato de lantano y disfunción de catéter peritoneal","Rodríguez-Palomares, José R., Arriba, Gabriel de, Gómez, Liliana, Pérez, Katia, Basterrechea, Mariángeles, Hernández, Beatriz, Tallón, Serafín","Nefrología (Madrid); 32(3); 415-416","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500031&lang=pt" 
"S0211-69952012000500012-esp","Factores asociados con el cambio temprano de catéter de diálisis peritoneal en Veracruz, México","Martínez-Mier, Gustavo, Luna-Castillo, Marisol, Ortiz-Enríquez, Jorge J., Ávila-Pardo, Sandro F., Fernández, Vicente, Méndez-López, Marco T., Budar-Fernández, Luis, González-Velázquez, Felipe","Nefrología (Madrid); 32(3); 353-358","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500012&lang=pt" 
"S0211-69952012000500011-esp","Resistencia a eritropoyetina y supervivencia en pacientes con enfermedad renal crónica 4-5 no-D y enfermedad cardíaca","Guerrero-Riscos, M. Ángeles, Montes-Delgado, Rafael, Seda-Guzmán, María, Praena-Fernández, Juan M.","Nefrología (Madrid); 32(3); 343-352","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500011&lang=pt" 
