"S0034-70942010000500007-scl","Utilidade da ecocardiografia transeofageana durante hipotensão arterial grave em cirurgia não cardíaca","Schulmeyer, Cabrera, Farías, Jorge, Rajdl, Eduardo, Maza, Jaime de La, Labbé, Marcela","Revista Brasileira de Anestesiologia; 60(5); 513-521","Revista Brasileira de Anestesiologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942010000500007&lang=pt" 
"S0103-90162010000500003-scl","Characteristics of a tractor engine using mineral and biodiesel fuels blended with rapeseed oil","Godeša, Tone, Jejčič, Viktor, Poje, Tomaž","Scientia Agricola; 67(5); 510-516","Scientia Agricola","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162010000500003&lang=pt" 
"S1806-37132010000500001-scl","Percepção de sintomas na asma","Cukier, Alberto","Jornal Brasileiro de Pneumologia; 36(5); 523-524","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500001&lang=pt" 
"S1806-37132010000500019-scl","Granuloma hialinizante de pulmão recidivante","Arruda, Guilherme D&#039;Andréa Saba, Carvalho, Paulo César Ribeiro de, Andrade, Mara Patrícia Guilhermino de, Cusmanich, Maurício Campos, Bandeira, Gustavo, Tozaki, Felipe Shigueo Passos","Jornal Brasileiro de Pneumologia; 36(5); 662-665","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500019&lang=pt" 
"S1806-37132010000500004-scl","Baixo grau de percepção da dispneia após teste de broncoprovocação induzida por metacolina em pacientes com asma","Reck, Cláudia Loss, Fiterman-Molinari, Daniel, Barreto, Sérgio Saldanha Menna, Fiterman, Jussara","Jornal Brasileiro de Pneumologia; 36(5); 539-544","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500004&lang=pt" 
"S1806-37132010000500018-scl","Pneumonia lipoide secundária ao uso prolongado de óleo de prímula","Rabahi, Marcelo Fouad, Ferreira, Andreia Alves, Madeira, João Gabriel Piccirilli, Galvao, Paulo Menzel, Pinto, Sebastião Alves","Jornal Brasileiro de Pneumologia; 36(5); 657-661","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500018&lang=pt" 
"S1806-37132010000500022-scl","Fim: o que resta é sempre o princípio feliz de alguma coisa","Martinez, José Antônio Baddini","Jornal Brasileiro de Pneumologia; 36(5); 668-668","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500022&lang=pt" 
"S1806-37132010000500020-scl","Paracoccidioidomicose e câncer","Wiwanitkit, Viroj","Jornal Brasileiro de Pneumologia; 36(5); 666-666","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500020&lang=pt" 
"S1806-37132010000500023-scl","Errata","","Jornal Brasileiro de Pneumologia; 36(5); 669-669","Jornal Brasileiro de Pneumologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500023&lang=pt" 
"S1806-37132010000500003-scl","Desempenho de uma escala analógica visual legendada na determinação do grau de dispneia durante teste de broncoespasmo induzido por exercício em crianças e adolescentes asmáticos","Lima, Patrícia Bueno, Santoro, Ilka Lopes, Caetano, Lilian Ballini, Cabral, Anna Lúcia de Barros, Fernandes, Ana Luisa Godoy","Jornal Brasileiro de Pneumologia; 36(5); 532-538","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500003&lang=pt" 
"S1806-37132010000500010-scl","Evolução do status de performance, índice de massa corpórea e distância percorrida no teste de caminhada de seis minutos em pacientes com câncer de pulmão avançado submetidos à quimioterapia","Machado, Luciana, Saad, Ivete Alonso Bredda, Honma, Helen Naemi, Morcillo, André Moreno, Zambon, Lair","Jornal Brasileiro de Pneumologia; 36(5); 588-594","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500010&lang=pt" 
"S1806-37132010000500012-scl","Fatores motivacionais que contribuem para a busca de tratamento ambulatorial para a cessação do tabagismo em um hospital geral universitário","Russo, Adriana Carneiro, Azevedo, Renata Cruz Soares de","Jornal Brasileiro de Pneumologia; 36(5); 603-611","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500012&lang=pt" 
"S1806-37132010000500016-scl","Drogas antituberculose: interações medicamentosas, efeitos adversos e utilização em situações especiais - parte 1: fármacos de primeira linha","Arbex, Marcos Abdo, Varella, Marília de Castro Lima, Siqueira, Hélio Ribeiro de, Mello, Fernando Augusto Fiúza de","Jornal Brasileiro de Pneumologia; 36(5); 626-640","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500016&lang=pt" 
"S1806-37132010000500017-scl","Drogas antituberculose: interações medicamentosas, efeitos adversos e utilização em situações especiais - parte 2: fármacos de segunda linha","Arbex, Marcos Abdo, Varella, Marília de Castro Lima, Siqueira, Hélio Ribeiro de, Mello, Fernando Augusto Fiúza de","Jornal Brasileiro de Pneumologia; 36(5); 641-656","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500017&lang=pt" 
"S1806-37132010000500008-scl","Dispneia em DPOC: além da escala modified Medical Research Council","Camargo, Lilia Azzi Collet da Rocha, Pereira, Carlos Alberto de Castro","Jornal Brasileiro de Pneumologia; 36(5); 571-578","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500008&lang=pt" 
"S1806-37132010000500009-scl","Alterações pulmonares em um modelo de diabetes mellitus em ratos: o efeito da terapia antioxidante","Forgiarini Junior, Luiz Alberto, Kretzmann, Nélson Alexandre, Tieppo, Juliana, Picada, Jaqueline Nascimento, Dias, Alexandre Simões, Marroni, Norma Anair Possa","Jornal Brasileiro de Pneumologia; 36(5); 579-587","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500009&lang=pt" 
"S1806-37132010000500002-scl","Prevalência e fatores de risco para sibilância no primeiro ano de vida","Lima, João Antonio Bonfadini, Fischer, Gilberto Bueno, Sarria, Edgar Enrique, Mattiello, Rita, Solé, Dirceu","Jornal Brasileiro de Pneumologia; 36(5); 525-531","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500002&lang=pt" 
"S1806-37132010000500011-scl","Reprodutibilidade da versão em português do Brasil do European Organization for Research and Treatment of Cancer Core Quality of Life Questionnaire em conjunto com seu módulo específico para câncer de pulmão","Franceschini, Juliana, Jardim, José Roberto, Fernandes, Ana Luisa Godoy, Jamnik, Sérgio, Santoro, Ilka Lopes","Jornal Brasileiro de Pneumologia; 36(5); 595-602","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500011&lang=pt" 
"S1806-37132010000500014-scl","Revisão do sistema de estadiamento tumor-nódulo-metástase para câncer de pulmão: mudanças e perspectivas","Andrade, Filipe Moreira de, Mourad, Omar Moté Abou, Judice, Luiz Felippe","Jornal Brasileiro de Pneumologia; 36(5); 617-620","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500014&lang=pt" 
