"S0212-71992002000900019-esp","Los artículos de revisión deberían tener más en cuenta las publicaciones españolas","Botella de Maglia, J., Belenguer Tarín, J. E.","Anales de Medicina Interna; 19(9); 69-70","Anales de Medicina Interna","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992002000900019&lang=pt" 
"S0212-71992002000900014-esp","Metástasis solitaria pancreática veinte años después de nefrectomía por adenocarcinoma renal","Pérez Poveda, J. J., Pedro, A. de, Campo, L. del, Pajares, J. M.","Anales de Medicina Interna; 19(9); 61-62","Anales de Medicina Interna","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992002000900014&lang=pt" 
"S0212-71992002000900015-esp","Metástasis esternal por hepatocarcinoma","García de Lucas, M. D., Jurado Gámez, B., Pérez Sicilia, M., Trujillo Santos, A. J.","Anales de Medicina Interna; 19(9); 62-63","Anales de Medicina Interna","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992002000900015&lang=pt" 
"S0212-71992002000900021-esp","Síndrome mielodisplásico, diabetes insípida y déficit progresivo del eje hipotálamo-hipofisario","Arrieta, F.J., Calero, M.A., Krisnik, I., Saavedra, M.P.","Anales de Medicina Interna; 19(9); 71-73","Anales de Medicina Interna","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992002000900021&lang=pt" 
"S0212-71992002000900020-esp","Intoxicación por metanol","Alcalá Pedrajas, J. N.","Anales de Medicina Interna; 19(9); 70-71","Anales de Medicina Interna","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992002000900020&lang=pt" 
"S0212-71992002000900016-esp","Infarto muscular en paciente con diabetes mellitus","Vázquez Pedreño, L. A., García Carrasco, E., Ramírez Mingoranze, F. J., Abarca Costalago, M.","Anales de Medicina Interna; 19(9); 63-64","Anales de Medicina Interna","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992002000900016&lang=pt" 
"S0212-71992002000900002-esp","Adecuación de los ingresos hospitalarios urgentes","Ochoa-Gómez, J., Villar Arias, A., Ramalle-Gómara, E., Carpintero Escudero, J. M., Bragado Blas, L., Ruiz Azpiazu, J. I.","Anales de Medicina Interna; 19(9); 8-10","Anales de Medicina Interna","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992002000900002&lang=pt" 
"S1516-14392002000300002-scl","The Trouble with Diffusion","DeHoff, R.T., Kulkarni, Nagraj","Materials Research; 5(3); 209-229","Materials Research","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392002000300002&lang=pt" 
"S1516-14392002000300003-scl","Stochastic Effects in Microstructure","Glicksman, M.E., Wang, K.G., Crawford, P.","Materials Research; 5(3); 231-241","Materials Research","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392002000300003&lang=pt" 
"S1516-14392002000300017-scl","Identification of Extra-Framework Species on Fe/ZSM-5 and Cu/ZSM-5 Catalysts Typical Microporous Molecular Sieves with Zeolitic Structure","Urquieta-González, E.A., Martins, L., Peguin, R.P.S., Batista, M.S.","Materials Research; 5(3); 321-327","Materials Research","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392002000300017&lang=pt" 
"S0212-71992002000900011-esp","La glicoproteína-P una bomba de membrana que representa una barrera a la quimioterapia de los pacientes con cáncer","Ruiz Gómez, M. J., Souviron Rodríguez, A., Martínez Morillo, M.","Anales de Medicina Interna; 19(9); 49-57","Anales de Medicina Interna","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992002000900011&lang=pt" 
"S1516-14392002000300027-scl","Theoretical - Experimental Analysis of Cellular and Primary Dendritic Spacings during Unidirectional Solidification of Sn-Pb Alloys","Rocha, Otávio F.L. da, Siqueira, Cláudio A., Garcia, Amauri","Materials Research; 5(3); 391-397","Materials Research","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392002000300027&lang=pt" 
"S1516-14392002000300001-scl","Editorial","Vasconcelos, Wander L., Zanotto, Edgar D.","Materials Research; 5(3); -","Materials Research","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392002000300001&lang=pt" 
"S1516-14392002000300006-scl","In Vivo Evaluation of Hydroxyapatite Foams","Sepulveda, P., Bressiani, A.H., Bressiani, J.C., Meseguer, L., König Jr, B.","Materials Research; 5(3); 253-256","Materials Research","Inglês","2002","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392002000300006&lang=pt" 
"S0212-71992002000900009-esp","Camptocormia: una enfermedad muscular infrecuente","Jiménez González, Mª. M., Pons Serra, M., Castaño Moreno, C., Monés Jiménez, L., Martínez Rodenas, F.","Anales de Medicina Interna; 19(9); 38-40","Anales de Medicina Interna","Espanhol","2002","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-71992002000900009&lang=pt" 
